lon,lat
7.898180497,41.07740853
8.194,41.062
8.204,41.055
8.217,41.121
8.201,41.043
8.217,41.024
8.155,41
8.212,41.005
8.195,41.825
8.24,41.049
8.218,41.038
8.349,41.091
12.879812,35.870092
12.87981,35.87009
12.633,35.501
12.604,35.526
14.324,35.943
14.515,35.906
30.436,36.237
30.462,36.256
30.479,36.272
30.487,36.388
30.487,36.368
30.529,36.337
4.295,39.803
4.288,39.8
4.22,39.822
4.227,39.821
4.282,39.801
4.238,39.814
23.785,39.108
23.779,39.101
23.829,39.152
23.841,39.158
23.872,39.172
23.867,39.203
26.546,39.322
26.593,39.335
26.568,39.333
26.563,39.336
26.59,39.358
26.53,39.332
2.958,39.126
2.961,39.138
2.978,39.169
2.978,39.205
2.929,39.13
2.924,39.133
8.085,40.362
8.084,40.361
8.233,40.569
8.23,40.569
8.185,39.113
8.16,39.109
8.132,39.087
8.138,39.085
8.147,39.076
8.149,39.065
4.1,40.085
4.096,40.085
4.08,40.091
4.094,40.074
4.033,40.069
4.125,40.059
3.231,42.245
3.237,42.247
3.311,42.313
3.308,42.292
3.28,42.333
3.309,42.324
2.318,39.589
2.337,39.599
2.327,39.586
2.31,39.574
2.361,39.61
2.349,39.563
1.159,38.979
1.166,38.969
1.189,38.956
1.196,38.96
1.207,38.988
1.215,38.989
29.031,36.557
29.034,36.578
29.029,36.604
29.042,36.619
29.028,36.596
29.063,36.618
1.481,38.788
1.481,38.799
1.479,38.803
1.48,38.796
1.485,38.787
1.479,38.804
3.16,39.956
3.135,39.946
3.172,39.959
3.192,39.956
3.198,39.943
9.131,44.36
9.126,44.362
9.092,44.371
9.107,44.367
9.077,44.375
9.053,44.378
28.079,37.021
28.114,37.022
28.161,37.029
28.137,37.031
28.055,37.024
28.108,37.013
24.752,37.583
24.65,37.605
24.674,37.6
24.739,37.633
24.705,37.629
24.68,37.609
26.823,35.879
26.823,35.875
27.236,35.868
27.238,35.861
27.207,35.828
27.239,35.83
29.617,36.151
29.662,36.141
29.639,36.182
29.629,36.163
29.605,36.188
29.63,36.152
24.615,36.754
24.634,36.744
24.658,36.748
24.667,36.751
24.548,36.755
24.547,36.707
15.743,39.932
15.732,39.943
15.699,39.991
15.674,40.017
15.66,40.038
15.65,40.038
3.22,42.049
3.225,42.044
3.227,42.041
3.225,42.042
3.225,42.043
3.223,42.049
3.186,42.1
3.189,42.096
3.195,42.087
3.197,42.085
3.205,42.073
3.21,42.067
18.507,40.144
18.516,40.137
18.517,40.133
18.518,40.111
18.52,40.106
18.51,40.099
17.895,40.247
17.902,40.242
17.906,40.237
17.918,40.212
17.917,40.198
17.918,40.193
24.327,39.333
24.329,39.345
24.334,39.358
24.331,39.37
24.322,39.368
24.331,39.367
9.158,44.315
9.162,44.316
9.165,44.316
9.166,44.313
9.781,40.876
9.778,40.873
9.743,40.913
9.738,40.911
9.716,40.902
17.789,40.722
17.796,40.719
17.806,40.716
17.799,40.719
17.812,40.714
17.827,40.707
15.544,42.227
15.746,42.223
15.751,42.225
34.91514,32.61921
34.94961,32.81962
35.07617,33.04638
34.86692,32.41672
13.76469,44.90025
13.79089,44.9017
13.71567,44.9403
13.7148,44.9163
13.75298,44.88691
13.78153,44.91356
13.74838,44.93402
13.80918,44.85758
13.80915,44.85648
13.81704,44.85674
13.8291,44.85301
15.56358,43.66942
15.48009,43.85231
15.44273,43.69547
15.37992,43.73887
15.31747,43.76959
15.38608,43.73489
15.55584,43.68998
15.62079,43.77509
15.28649,43.81202
15.47282,43.88942
15.46749,43.91093
17.33153,42.77223
17.34708,42.76898
17.32148,42.78445
17.4219,42.79141
17.4111,42.79487
17.35969,42.80703
17.74525,42.7034
17.43478,42.78709
17.62165,42.73979
17.46511,42.77649
12.08078,37.98362
13.15419,38.71068
12.77276,38.15865
3.166758,42.47317
24.98816,35.41562
25.758577,35.251846
25.739887,35.231754
25.75831,35.251892
24.39293,35.17217
24.409021,35.17072
24.441713,35.154884
24.419214,35.166004
24.392876,35.177162
24.355742,35.183475
24.590063,35.008705
24.580944,35.001724
24.597233,35.00729
25.758797,35.25428
25.738451,35.230244
25.731836,35.22478
25.019144,35.416767
25.02150683,35.41495036
25.02178779,35.41471135
23.595228,35.232037
23.600225,35.232307
