"","lat","lon","species"
"2",6.35,2.4333,"Alectis alexandrinus "
"3",6.3166,2.1,"Alectis alexandrinus "
"4",6.2833,1.8333,"Alectis alexandrinus "
"5",6.2333,1.6833,"Alectis alexandrinus "
"6",6.3833,2.6166,"Alectis alexandrinus "
"7",31.8,34.61,"Alectis alexandrinus "
"8",13.815833,-16.513167,"Alectis alexandrinus "
"9",13.797833,-16.504833,"Alectis alexandrinus "
"10",20.1995,-16.2125,"Alectis alexandrinus "
"11",32.826,34.888,"Alectis alexandrinus "
"13",13.852833,-16.520667,"Alectis alexandrinus "
"14",20.152,-16.7545,"Alectis alexandrinus "
"16",20.439667,-16.572167,"Alectis alexandrinus "
"17",20.11,-16.677167,"Alectis alexandrinus "
"19",13.7885,-16.515833,"Alectis alexandrinus "
"20",13.832333,-16.549167,"Alectis alexandrinus "
"21",13.827,-16.535167,"Alectis alexandrinus "
"22",13.818667,-16.528333,"Alectis alexandrinus "
"26",13.771667,-16.521167,"Alectis alexandrinus "
"29",13.651333,-16.5715,"Alectis alexandrinus "
"31",-11.483334,13.666667,"Alectis alexandrinus "
"33",13.724833,-16.503333,"Alectis alexandrinus "
"34",13.806833,-16.604667,"Alectis alexandrinus "
"38",14.173882,-16.845966,"Alectis alexandrinus "
"39",5.331167,-4.011333,"Alectis alexandrinus "
"41",5.2915,-4.029,"Alectis alexandrinus "
"42",5.327833,-4.013833,"Alectis alexandrinus "
"43",5.320333,-4.008,"Alectis alexandrinus "
"44",5.271167,-4.088,"Alectis alexandrinus "
"45",5.269,-4.061167,"Alectis alexandrinus "
"47",5.2685,-4.098667,"Alectis alexandrinus "
"49",3.75,8.8,"Alectis alexandrinus "
"50",33.904992,35.54034,"Alectis alexandrinus "
"55",5.066667,0.216667,"Alectis alexandrinus "
"56",6.016667,1.516667,"Alectis alexandrinus "
"58",4.9,-1.7,"Alectis alexandrinus "
"59",6.3,2.2,"Alectis alexandrinus "
"60",5.85,1,"Alectis alexandrinus "
"72",5.1,-3.366667,"Alectis alexandrinus "
"73",4.733333,-2.133333,"Alectis alexandrinus "
"74",6.316667,4.283333,"Alectis alexandrinus "
"75",5.383333,-0.416667,"Alectis alexandrinus "
"77",5.1,-1.066667,"Alectis alexandrinus "
"79",5.216667,-4.083333,"Alectis alexandrinus "
"80",5.133333,-4.65,"Alectis alexandrinus "
"81",5.033333,5.134722,"Alectis alexandrinus "
"90",6.4,3.616667,"Alectis alexandrinus "
"91",6.35,2.9,"Alectis alexandrinus "
"94",5.934722,4.801389,"Alectis alexandrinus "
"106",4.95,-2.733333,"Alectis alexandrinus "
"120",4.2,8.851389,"Alectis alexandrinus "
"121",4.233333,6.083333,"Alectis alexandrinus "
"122",6.3,-10.818056,"Alectis alexandrinus "
"123",4.516667,-7.016667,"Alectis alexandrinus "
"124",2.483333,9.718056,"Alectis alexandrinus "
"125",4.95,-5.968056,"Alectis alexandrinus "
"128",5.083333,-5.3,"Alectis alexandrinus "
"129",4.3,-7.8,"Alectis alexandrinus "
"130",3.15,9.8,"Alectis alexandrinus "
"131",4.15,6.034722,"Alectis alexandrinus "
"132",4.718056,-6.566667,"Alectis alexandrinus "
"135",3.716667,9.433333,"Alectis alexandrinus "
"136",4.066667,5.466667,"Alectis alexandrinus "
"139",5.933333,-10.15,"Alectis alexandrinus "
"140",4.4,8.233333,"Alectis alexandrinus "
"141",6.7,-11.366667,"Alectis alexandrinus "
"145",4.3,7.55,"Alectis alexandrinus "
"151",1.184722,9.284722,"Alectis alexandrinus "
"163",4.933333,-9,"Alectis alexandrinus "
